domain,bin_left,bin_right,right_inclusive,titles
songs,0,5,False,0
songs,5,10,False,0
songs,10,15,False,2
songs,15,20,False,1
songs,20,25,False,3
songs,25,30,False,6
songs,30,35,False,11
songs,35,40,False,22
songs,40,45,False,47
songs,45,50,False,17
songs,50,55,False,8
songs,55,60,False,10
songs,60,65,False,36
songs,65,70,False,52
songs,70,75,False,38
songs,75,80,False,4
songs,80,85,False,17
songs,85,90,False,21
songs,90,95,False,5
songs,95,100,True,0
movies,0,5,False,0
movies,5,10,False,0
movies,10,15,False,0
movies,15,20,False,0
movies,20,25,False,0
movies,25,30,False,0
movies,30,35,False,0
movies,35,40,False,2
movies,40,45,False,5
movies,45,50,False,4
movies,50,55,False,0
movies,55,60,False,0
movies,60,65,False,20
movies,65,70,False,42
movies,70,75,False,53
movies,75,80,False,10
movies,80,85,False,55
movies,85,90,False,75
movies,90,95,False,29
movies,95,100,True,5
bands,0,5,False,0
bands,5,10,False,0
bands,10,15,False,0
bands,15,20,False,1
bands,20,25,False,8
bands,25,30,False,3
bands,30,35,False,0
bands,35,40,False,64
bands,40,45,False,62
bands,45,50,False,33
bands,50,55,False,11
bands,55,60,False,4
bands,60,65,False,22
bands,65,70,False,25
bands,70,75,False,19
bands,75,80,False,10
bands,80,85,False,15
bands,85,90,False,18
bands,90,95,False,4
bands,95,100,True,1
