dataset_id,domain,item_key,title,q25,g3,q38,g4,valid_model_ratings,mean_score
eligible_top300_v1,songs,songs_fake_love,FAKE LOVE,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_run,RUN,80,85,95,10,4,67.5
eligible_top300_v1,songs,songs_dna,DNA,70,85,95,90,4,85.0
eligible_top300_v1,songs,songs_boy_with_luv,Boy With Luv,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_in_the_end,In the End,50,85,10,15,4,40.0
eligible_top300_v1,songs,songs_mr_brightside,Mr. Brightside,50,85,10,20,4,41.25
eligible_top300_v1,songs,songs_creep,Creep,50,85,10,20,4,41.25
eligible_top300_v1,songs,songs_smells_like_teen_spirit,Smells Like Teen Spirit,50,85,10,20,4,41.25
eligible_top300_v1,songs,songs_chop_suey,Chop Suey!,50,85,10,30,4,43.75
eligible_top300_v1,songs,songs_idol,IDOL,70,85,95,30,4,70.0
eligible_top300_v1,songs,songs_numb,Numb,50,85,10,20,4,41.25
eligible_top300_v1,songs,songs_the_less_i_know_the_better,The Less I Know the Better,30,85,10,15,4,35.0
eligible_top300_v1,songs,songs_karma_police,Karma Police,50,85,90,40,4,66.25
eligible_top300_v1,songs,songs_airplane_pt_2,Airplane pt.2,50,75,95,20,4,60.0
eligible_top300_v1,songs,songs_no_surprises,No Surprises,50,75,10,15,4,37.5
eligible_top300_v1,songs,songs_feel_good_inc,Feel Good Inc.,50,85,10,20,4,41.25
eligible_top300_v1,songs,songs_seven_nation_army,Seven Nation Army,70,90,10,20,4,47.5
eligible_top300_v1,songs,songs_mic_drop,Mic Drop,80,90,95,90,4,88.75
eligible_top300_v1,songs,songs_come_as_you_are,Come as You Are,50,85,10,20,4,41.25
eligible_top300_v1,songs,songs_do_i_wanna_know,Do I Wanna Know?,50,85,15,15,4,41.25
eligible_top300_v1,songs,songs_bohemian_rhapsody,Bohemian Rhapsody,50,85,95,30,4,65.0
eligible_top300_v1,songs,songs_everlong,Everlong,50,85,10,10,4,38.75
eligible_top300_v1,songs,songs_running,Running,80,85,95,20,4,70.0
eligible_top300_v1,songs,songs_viva_la_vida,Viva la vida,50,85,90,30,4,63.75
eligible_top300_v1,songs,songs_toxicity,Toxicity,70,85,10,30,4,48.75
eligible_top300_v1,songs,songs_take_me_out,Take Me Out,70,85,95,20,4,67.5
eligible_top300_v1,songs,songs_wonderwall,Wonderwall,50,75,10,30,4,41.25
eligible_top300_v1,songs,songs_where_is_my_mind,Where Is My Mind?,50,85,90,30,4,63.75
eligible_top300_v1,songs,songs_killing_in_the_name,Killing in the Name,50,85,90,20,4,61.25
eligible_top300_v1,songs,songs_paranoid,Paranoid,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_pumped_up_kicks,Pumped Up Kicks,70,85,15,30,4,50.0
eligible_top300_v1,songs,songs_get_lucky,Get Lucky,50,85,90,20,4,61.25
eligible_top300_v1,songs,songs_paranoid_android,Paranoid Android,50,85,15,70,4,55.0
eligible_top300_v1,songs,songs_song_2,Song 2,0,85,0,5,4,22.5
eligible_top300_v1,songs,songs_take_on_me,Take On Me,50,90,90,85,4,78.75
eligible_top300_v1,songs,songs_enter_sandman,Enter Sandman,70,90,95,40,4,73.75
eligible_top300_v1,songs,songs_truth_untold,Truth Untold,50,75,15,20,4,40.0
eligible_top300_v1,songs,songs_let_go,Let Go,50,75,90,20,4,58.75
eligible_top300_v1,songs,songs_stairway_to_heaven,Stairway to Heaven,80,90,95,85,4,87.5
eligible_top300_v1,songs,songs_africa,Africa,80,85,95,70,4,82.5
eligible_top300_v1,songs,songs_bring_me_to_life,Bring Me to Life,50,85,15,20,4,42.5
eligible_top300_v1,songs,songs_harder_better_faster_stronger,"Harder, Better, Faster, Stronger",70,85,10,20,4,46.25
eligible_top300_v1,songs,songs_everybody_wants_to_rule_the_world,Everybody Wants to Rule the World,50,85,90,30,4,63.75
eligible_top300_v1,songs,songs_no_more_dream,No More Dream,70,75,90,20,4,63.75
eligible_top300_v1,songs,songs_sultans_of_swing,Sultans of Swing,70,85,10,30,4,48.75
eligible_top300_v1,songs,songs_midnight_city,Midnight City,80,85,95,40,4,75.0
eligible_top300_v1,songs,songs_faint,Faint,50,60,90,15,4,53.75
eligible_top300_v1,songs,songs_agust_d,Agust D,0,85,10,10,4,26.25
eligible_top300_v1,songs,songs_dreams,Dreams,70,85,95,15,4,66.25
eligible_top300_v1,songs,songs_stressed_out,Stressed Out,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_everything_in_its_right_place,Everything in Its Right Place,50,85,10,30,4,43.75
eligible_top300_v1,songs,songs_losing_my_religion,Losing My Religion,50,85,15,20,4,42.5
eligible_top300_v1,songs,songs_blue_side_outro,Blue Side (outro),30,75,15,10,4,32.5
eligible_top300_v1,songs,songs_intro_dt_suga,Intro ; Dt sugA,0,60,10,5,4,18.75
eligible_top300_v1,songs,songs_californication,Californication,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_radioactive,Radioactive,70,85,95,70,4,80.0
eligible_top300_v1,songs,songs_kids,Kids,50,85,95,20,4,62.5
eligible_top300_v1,songs,songs_misery_business,Misery Business,50,85,15,20,4,42.5
eligible_top300_v1,songs,songs_enjoy_the_silence,Enjoy the Silence,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_one_step_closer,One Step Closer,50,85,90,30,4,63.75
eligible_top300_v1,songs,songs_sweater_weather,Sweater Weather,75,85,95,70,4,81.25
eligible_top300_v1,songs,songs_danger,Danger,70,85,95,10,4,65.0
eligible_top300_v1,songs,songs_no_one_knows,No One Knows,50,60,15,15,4,35.0
eligible_top300_v1,songs,songs_hotel_california,Hotel California,70,85,95,85,4,83.75
eligible_top300_v1,songs,songs_euphoria,Euphoria,70,85,90,15,4,65.0
eligible_top300_v1,songs,songs_the_chain,The Chain,70,85,95,40,4,72.5
eligible_top300_v1,songs,songs_under_the_bridge,Under the Bridge,70,90,95,70,4,81.25
eligible_top300_v1,songs,songs_teardrop,Teardrop,80,85,95,85,4,86.25
eligible_top300_v1,songs,songs_time,Time,50,85,95,20,4,62.5
eligible_top300_v1,songs,songs_humble,HUMBLE.,50,85,90,15,4,60.0
eligible_top300_v1,songs,songs_wish_you_were_here,Wish You Were Here,70,85,90,30,4,68.75
eligible_top300_v1,songs,songs_i_need_u_japanese_ver,I NEED U (Japanese ver.),50,60,10,5,4,31.25
eligible_top300_v1,songs,songs_money,Money,80,90,95,80,4,86.25
eligible_top300_v1,songs,songs_supermassive_black_hole,Supermassive Black Hole,80,85,95,85,4,86.25
eligible_top300_v1,songs,songs_basket_case,Basket Case,70,75,90,30,4,66.25
eligible_top300_v1,songs,songs_stigma,Stigma,50,75,15,20,4,40.0
