id,domain,title,source,source_rank,source_id,source_item_url,artist,selection_group,metadata_year,popularity,length_group
songs_fake_love,songs,FAKE LOVE,ListenBrainz all-time recordings / MusicBrainz,24,27e95178-49ac-47a1-8b4c-540c77982680,https://musicbrainz.org/recording/27e95178-49ac-47a1-8b4c-540c77982680,BTS,0d79fe8e-ba27-4859-bb8c-2f255f346853,2018,289884,medium
songs_run,songs,RUN,ListenBrainz all-time recordings / MusicBrainz,26,22d90ef6-04dc-4ab6-9fd5-5ee8fa52e102,https://musicbrainz.org/recording/22d90ef6-04dc-4ab6-9fd5-5ee8fa52e102,BTS,0d79fe8e-ba27-4859-bb8c-2f255f346853,2015,277252,short
songs_dna,songs,DNA,ListenBrainz all-time recordings / MusicBrainz,27,4e7bfe28-623f-4123-b688-e55ef346b8fe,https://musicbrainz.org/recording/4e7bfe28-623f-4123-b688-e55ef346b8fe,BTS,0d79fe8e-ba27-4859-bb8c-2f255f346853,2017,269287,short
songs_boy_with_luv,songs,Boy With Luv,ListenBrainz all-time recordings / MusicBrainz,32,96cbf133-1bb1-44b6-99c9-25feee685e1f,https://musicbrainz.org/recording/96cbf133-1bb1-44b6-99c9-25feee685e1f,BTS,0d79fe8e-ba27-4859-bb8c-2f255f346853,2014,251486,medium
songs_in_the_end,songs,In the End,ListenBrainz all-time recordings / MusicBrainz,33,9d70086c-5d7a-4e7f-b1ed-c53c4b11310f,https://musicbrainz.org/recording/9d70086c-5d7a-4e7f-b1ed-c53c4b11310f,Linkin Park,f59c5520-5f46-4d2c-b2c4-822eabf53419,2000,243097,medium
songs_mr_brightside,songs,Mr. Brightside,ListenBrainz all-time recordings / MusicBrainz,34,560062d0-e122-46be-9d89-0f3b44077fdf,https://musicbrainz.org/recording/560062d0-e122-46be-9d89-0f3b44077fdf,The Killers,95e1ead9-4d31-4808-a7ac-32c3614c116b,2004,242441,medium
songs_creep,songs,Creep,ListenBrainz all-time recordings / MusicBrainz,36,70595637-9310-45f2-a266-58f8de4874a7,https://musicbrainz.org/recording/70595637-9310-45f2-a266-58f8de4874a7,Radiohead,a74b1b7f-71a5-4011-9441-d0b5e4122711,1993,236488,short
songs_smells_like_teen_spirit,songs,Smells Like Teen Spirit,ListenBrainz all-time recordings / MusicBrainz,38,5fb524f1-8cc8-4c04-a921-e34c0a911ea7,https://musicbrainz.org/recording/5fb524f1-8cc8-4c04-a921-e34c0a911ea7,Nirvana,5b11f4ce-a62d-471e-81fc-a69a8278c7da,1991,235769,long
songs_chop_suey,songs,Chop Suey!,ListenBrainz all-time recordings / MusicBrainz,39,46c7368a-013a-47b6-97cc-e55e7ab25213,https://musicbrainz.org/recording/46c7368a-013a-47b6-97cc-e55e7ab25213,System of a Down,cc0b7089-c08d-4c10-b6b0-873582c17fd6,2001,235675,medium
songs_idol,songs,IDOL,ListenBrainz all-time recordings / MusicBrainz,42,057fb67c-9aa9-405d-9bc0-0d14cf9ca3e0,https://musicbrainz.org/recording/057fb67c-9aa9-405d-9bc0-0d14cf9ca3e0,BTS,0d79fe8e-ba27-4859-bb8c-2f255f346853,2018,225455,short
