id,domain,title,source,source_rank,source_id,source_item_url,artist,metadata_year,popularity,length_group
songs_smells_like_teen_spirit,songs,Smells Like Teen Spirit,ListenBrainz all-time recordings / MusicBrainz,38,5fb524f1-8cc8-4c04-a921-e34c0a911ea7,https://musicbrainz.org/recording/5fb524f1-8cc8-4c04-a921-e34c0a911ea7,Nirvana,1991,235769,long
songs_the_less_i_know_the_better,songs,The Less I Know the Better,ListenBrainz all-time recordings / MusicBrainz,46,78be434c-0908-458f-9693-f16cdebb68ef,https://musicbrainz.org/recording/78be434c-0908-458f-9693-f16cdebb68ef,Tame Impala,2015,217420,long
songs_karma_police,songs,Karma Police,ListenBrainz all-time recordings / MusicBrainz,52,9e2ad5bc-c6f9-40d2-a36f-3122ee2072a3,https://musicbrainz.org/recording/9e2ad5bc-c6f9-40d2-a36f-3122ee2072a3,Radiohead,1997,209593,medium
songs_faint,songs,Faint,ListenBrainz all-time recordings / MusicBrainz,132,54a3c21c-5395-44a2-b90b-b7fab8095c20,https://musicbrainz.org/recording/54a3c21c-5395-44a2-b90b-b7fab8095c20,Linkin Park,2003,158756,short
songs_dreams,songs,Dreams,ListenBrainz all-time recordings / MusicBrainz,136,248cc9d1-97ea-493e-84d4-4c5ec718683b,https://musicbrainz.org/recording/248cc9d1-97ea-493e-84d4-4c5ec718683b,Fleetwood Mac,1983,156154,short
songs_stressed_out,songs,Stressed Out,ListenBrainz all-time recordings / MusicBrainz,139,e2b9b868-5aa3-400a-aae2-7c7e9c7d35fd,https://musicbrainz.org/recording/e2b9b868-5aa3-400a-aae2-7c7e9c7d35fd,twenty one pilots,2015,154284,medium
songs_losing_my_religion,songs,Losing My Religion,ListenBrainz all-time recordings / MusicBrainz,141,d4e0a590-e461-499a-8f62-b595b6c65ada,https://musicbrainz.org/recording/d4e0a590-e461-499a-8f62-b595b6c65ada,R.E.M.,1991,153391,medium
songs_radioactive,songs,Radioactive,ListenBrainz all-time recordings / MusicBrainz,147,bd61eda3-eb77-4634-ba66-4a084f7f8455,https://musicbrainz.org/recording/bd61eda3-eb77-4634-ba66-4a084f7f8455,Imagine Dragons,2012,152624,short
songs_money,songs,Money,ListenBrainz all-time recordings / MusicBrainz,170,7fef22bd-76aa-4803-b56b-93a5d6e70662,https://musicbrainz.org/recording/7fef22bd-76aa-4803-b56b-93a5d6e70662,Pink Floyd,1983,146962,short
songs_on_melancholy_hill,songs,On Melancholy Hill,ListenBrainz all-time recordings / MusicBrainz,177,842fbdae-8839-46e6-8a02-7f500a2b6597,https://musicbrainz.org/recording/842fbdae-8839-46e6-8a02-7f500a2b6597,Gorillaz,2010,145943,medium
songs_another_one_bites_the_dust,songs,Another One Bites the Dust,ListenBrainz all-time recordings / MusicBrainz,190,6b235773-16bd-4fc5-b57e-c966f9d1db6d,https://musicbrainz.org/recording/6b235773-16bd-4fc5-b57e-c966f9d1db6d,Queen,1983,143015,long
songs_billie_jean,songs,Billie Jean,ListenBrainz all-time recordings / MusicBrainz,196,f980fc14-e29b-481d-ad3a-5ed9b4ab6340,https://musicbrainz.org/recording/f980fc14-e29b-481d-ad3a-5ed9b4ab6340,Michael Jackson,1982,141352,medium
