id,domain,title,source,source_rank,source_id,source_item_url,artist,metadata_year,popularity,length_group
songs_smells_like_teen_spirit,songs,Smells Like Teen Spirit,ListenBrainz all-time recordings / MusicBrainz,38,5fb524f1-8cc8-4c04-a921-e34c0a911ea7,https://musicbrainz.org/recording/5fb524f1-8cc8-4c04-a921-e34c0a911ea7,Nirvana,1991,235769,long
songs_the_less_i_know_the_better,songs,The Less I Know the Better,ListenBrainz all-time recordings / MusicBrainz,46,78be434c-0908-458f-9693-f16cdebb68ef,https://musicbrainz.org/recording/78be434c-0908-458f-9693-f16cdebb68ef,Tame Impala,2015,217420,long
songs_seven_nation_army,songs,Seven Nation Army,ListenBrainz all-time recordings / MusicBrainz,62,24cc8311-98fd-423a-bed1-97728f5eabc5,https://musicbrainz.org/recording/24cc8311-98fd-423a-bed1-97728f5eabc5,The White Stripes,2003,200991,medium
songs_wonderwall,songs,Wonderwall,ListenBrainz all-time recordings / MusicBrainz,93,580f4553-e29a-4d19-989c-1b097b76de48,https://musicbrainz.org/recording/580f4553-e29a-4d19-989c-1b097b76de48,Oasis,1995,177591,short
songs_pumped_up_kicks,songs,Pumped Up Kicks,ListenBrainz all-time recordings / MusicBrainz,102,55cfb83f-adc1-4730-a71b-90b369fd3f84,https://musicbrainz.org/recording/55cfb83f-adc1-4730-a71b-90b369fd3f84,Foster the People,2010,170673,medium
songs_song_2,songs,Song 2,ListenBrainz all-time recordings / MusicBrainz,107,b39b7227-c271-4ab8-912b-cb1fe2fc0e5e,https://musicbrainz.org/recording/b39b7227-c271-4ab8-912b-cb1fe2fc0e5e,Blur,1997,166542,medium
songs_stairway_to_heaven,songs,Stairway to Heaven,ListenBrainz all-time recordings / MusicBrainz,118,ccfdd180-22e1-49b9-bd81-b5fcf2c6474e,https://musicbrainz.org/recording/ccfdd180-22e1-49b9-bd81-b5fcf2c6474e,Led Zeppelin,1971,162671,medium
songs_faint,songs,Faint,ListenBrainz all-time recordings / MusicBrainz,132,54a3c21c-5395-44a2-b90b-b7fab8095c20,https://musicbrainz.org/recording/54a3c21c-5395-44a2-b90b-b7fab8095c20,Linkin Park,2003,158756,short
songs_dreams,songs,Dreams,ListenBrainz all-time recordings / MusicBrainz,136,248cc9d1-97ea-493e-84d4-4c5ec718683b,https://musicbrainz.org/recording/248cc9d1-97ea-493e-84d4-4c5ec718683b,Fleetwood Mac,1977,156154,short
songs_stressed_out,songs,Stressed Out,ListenBrainz all-time recordings / MusicBrainz,139,e2b9b868-5aa3-400a-aae2-7c7e9c7d35fd,https://musicbrainz.org/recording/e2b9b868-5aa3-400a-aae2-7c7e9c7d35fd,twenty one pilots,2015,154284,medium
songs_losing_my_religion,songs,Losing My Religion,ListenBrainz all-time recordings / MusicBrainz,141,d4e0a590-e461-499a-8f62-b595b6c65ada,https://musicbrainz.org/recording/d4e0a590-e461-499a-8f62-b595b6c65ada,R.E.M.,1991,153391,medium
songs_californication,songs,Californication,ListenBrainz all-time recordings / MusicBrainz,146,084a24a9-b289-4584-9fb5-1ca0f7500eb3,https://musicbrainz.org/recording/084a24a9-b289-4584-9fb5-1ca0f7500eb3,Red Hot Chili Peppers,1999,152713,short
