id,domain,title,source,source_rank,source_id,source_item_url,artist,selection_group,metadata_year,popularity,length_group
songs_feel_good_inc,songs,Feel Good Inc.,ListenBrainz all-time recordings / MusicBrainz,60,6544ac1d-0108-40ee-aa7a-b644ef7a3b46,https://musicbrainz.org/recording/6544ac1d-0108-40ee-aa7a-b644ef7a3b46,Gorillaz,e21857d5-3256-4547-afb3-4b6ded592596,2005,203636,medium
songs_killing_in_the_name,songs,Killing in the Name,ListenBrainz all-time recordings / MusicBrainz,97,5f64bf87-a18e-4ac0-8a49-dc1d500a8ba5,https://musicbrainz.org/recording/5f64bf87-a18e-4ac0-8a49-dc1d500a8ba5,Rage Against the Machine,3798b104-01cb-484c-a3b0-56adc6399b80,1992,175617,long
songs_song_2,songs,Song 2,ListenBrainz all-time recordings / MusicBrainz,107,b39b7227-c271-4ab8-912b-cb1fe2fc0e5e,https://musicbrainz.org/recording/b39b7227-c271-4ab8-912b-cb1fe2fc0e5e,Blur,ba853904-ae25-4ebb-89d6-c44cfbd71bd2,1997,166542,medium
songs_bring_me_to_life,songs,Bring Me to Life,ListenBrainz all-time recordings / MusicBrainz,120,c24eb26a-04d6-4f09-9449-9bc334f78ede,https://musicbrainz.org/recording/c24eb26a-04d6-4f09-9449-9bc334f78ede,Evanescence,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,2003,162147,long
songs_welcome_to_the_black_parade,songs,Welcome to the Black Parade,ListenBrainz all-time recordings / MusicBrainz,183,28982738-839e-4c97-89ec-6ad0446c8e56,https://musicbrainz.org/recording/28982738-839e-4c97-89ec-6ad0446c8e56,My Chemical Romance,c07f0676-9143-4217-8a9f-4c26bd636f13,2006,144802,long
songs_there_is_a_light_that_never_goes_out,songs,There Is a Light That Never Goes Out,ListenBrainz all-time recordings / MusicBrainz,230,f87a0c54-60ef-4db1-9628-96677504692d,https://musicbrainz.org/recording/f87a0c54-60ef-4db1-9628-96677504692d,The Smiths,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,1986,135040,long
songs_what_ive_done,songs,What I’ve Done,ListenBrainz all-time recordings / MusicBrainz,242,50347f42-2a40-4df6-b358-07f994af7a3f,https://musicbrainz.org/recording/50347f42-2a40-4df6-b358-07f994af7a3f,Linkin Park,f59c5520-5f46-4d2c-b2c4-822eabf53419,2007,132711,medium
songs_youre_gonna_go_far_kid,songs,"You’re Gonna Go Far, Kid",ListenBrainz all-time recordings / MusicBrainz,247,d37776ac-993f-4ca5-9592-7c0bb708798a,https://musicbrainz.org/recording/d37776ac-993f-4ca5-9592-7c0bb708798a,The Offspring,23a03e33-a603-404e-bcbf-2c00159d7067,2008,131092,long
songs_all_i_need,songs,All I Need,ListenBrainz all-time recordings / MusicBrainz,262,72c6b4d3-71a8-4c70-bf50-da11c0149089,https://musicbrainz.org/recording/72c6b4d3-71a8-4c70-bf50-da11c0149089,Radiohead,a74b1b7f-71a5-4011-9441-d0b5e4122711,2007,128234,medium
songs_reptilia,songs,Reptilia,ListenBrainz all-time recordings / MusicBrainz,264,8f9dec01-c479-4ad4-96b5-0950a97c1a91,https://musicbrainz.org/recording/8f9dec01-c479-4ad4-96b5-0950a97c1a91,The Strokes,f181961b-20f7-459e-89de-920ef03c7ed0,2003,128091,short
songs_riptide,songs,Riptide,ListenBrainz all-time recordings / MusicBrainz,286,8c3f4879-5477-47f1-92f3-fe0a54b22786,https://musicbrainz.org/recording/8c3f4879-5477-47f1-92f3-fe0a54b22786,Vance Joy,df36f6db-5987-46ed-9d02-0cf36ed4e060,2014,123430,short
songs_bitter_sweet_symphony,songs,Bitter Sweet Symphony,ListenBrainz all-time recordings / MusicBrainz,293,8b6d9029-1990-4660-bd57-24b5bc0fb626,https://musicbrainz.org/recording/8b6d9029-1990-4660-bd57-24b5bc0fb626,The Verve,d4d17620-fd97-4574-92a8-a2cb7e72ce42,1997,122074,medium
songs_hysteria,songs,Hysteria,ListenBrainz all-time recordings / MusicBrainz,299,c102891a-d4dd-442b-83b5-fa57cc6c1026,https://musicbrainz.org/recording/c102891a-d4dd-442b-83b5-fa57cc6c1026,Muse,9c9f1380-2516-4fc9-a3e6-f9f61941d090,2003,121388,short
songs_n_o,songs,N.O,ListenBrainz all-time recordings / MusicBrainz,300,4ca68043-cffc-455a-90ca-3ab2f6ae78e7,https://musicbrainz.org/recording/4ca68043-cffc-455a-90ca-3ab2f6ae78e7,BTS,0d79fe8e-ba27-4859-bb8c-2f255f346853,2013,121372,short
songs_fortunate_son,songs,Fortunate Son,ListenBrainz all-time recordings / MusicBrainz,310,e5178630-952b-486e-bb67-559c62f1b3db,https://musicbrainz.org/recording/e5178630-952b-486e-bb67-559c62f1b3db,Creedence Clearwater Revival,109958eb-a335-4c5e-907e-597ff4c6af46,1986,119574,medium
